City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Luanda,AO,71.6,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
2,Sibu,MY,71.91,moderate rain,2.3,111.8167,RH HOTEL (4 Star)
3,Nouakchott,MR,78.73,clear sky,18.0858,-15.9785,HOTEL IMAN
6,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
7,Faanui,PF,80.04,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
9,Ribeira Grande,PT,72.0,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
10,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
14,Sao Filipe,CV,74.05,clear sky,14.8961,-24.4956,Hotel Xaguate
20,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
21,Kapaa,US,80.92,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
29,Hithadhoo,MV,81.79,light rain,-0.6,73.0833,Scoop Guest House
32,Turbo,CO,83.73,light rain,8.0937,-76.7269,Hotel Plaza Manfortt
36,Laguna,US,84.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
38,Arraial Do Cabo,BR,71.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
46,Ugoofaaru,MV,82.58,overcast clouds,5.6667,73.0,Ungoofaaru Inn
51,Camocim,BR,81.77,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
52,Hilo,US,85.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
53,Tabuk,PH,73.45,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
57,Nieuw Amsterdam,SR,88.14,scattered clouds,5.8833,-55.0833,Hotel Stardust
58,Strausberg,DE,79.7,clear sky,52.5786,13.8874,The Lakeside Burghotel zu Strausberg
61,Kemijarvi,FI,71.83,scattered clouds,66.7131,27.4306,Hotelli Kemijärvi
62,Padang,ID,75.4,overcast clouds,-0.9492,100.3543,Mercure Padang
67,Palauig,PH,80.06,moderate rain,15.435,119.9045,Villa Raphael Resort
69,Sao Joao Do Paraiso,BR,79.63,clear sky,-15.3136,-42.0144,Avenida Palace Hotel
73,Bengkulu,ID,72.59,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
75,Melendugno,IT,82.49,clear sky,40.2747,18.3368,Alba Bed & Breakfast Melendugno
